"","NOME","PARTIDO","UF"
"202","GABRIEL GUIMARAES","PT","MG"
"203","GENECIAS NORONHA","SD","CE"
"204","GEORGE HILTON","PROS","MG"
"205","GEOVANIA DE SA","PSDB","SC"
"206","GERALDO RESENDE","PSDB","MS"
"207","GIACOBO","PR","PR"
"208","GILBERTO NASCIMENTO","PSC","SP"
"209","GIOVANI CHERINI","S.PART.","RS"
"210","GIUSEPPE VECCI","PSDB","GO"
"211","GIVALDO CARIMBAO","PHS","AL"
"212","GIVALDO VIEIRA","PT","ES"
"213","GLAUBER BRAGA","PSOL","RJ"
"214","GONZAGA PATRIOTA","PSB","PE"
"215","GORETE PEREIRA","PR","CE"
"216","GOULART","PSD","SP"
"217","GUILHERME COELHO","PSDB","PE"
"218","GUILHERME MUSSI","PP","SP"
"219","HEITOR SCHUCH","PSB","RS"
"220","HELDER SALOMAO","PT","ES"
"221","HELIO LEITE","DEM","PA"
"222","HENRIQUE FONTANA","PT","RS"
"223","HERACLITO FORTES","PSB","PI"
"224","HERCULANO PASSOS","PSD","SP"
"225","HERMES PARCIANELLO","PMDB","PR"
"226","HEULER CRUVINEL","PSD","GO"
"227","HILDO ROCHA","PMDB","MA"
"228","HIRAN GONÇALVES","PP","RR"
"229","HISSA ABRAHAO","PDT","AM"
"230","HUGO LEAL","PSB","RJ"
"231","HUGO MOTTA","PMDB","PB"
"232","ILDON MARQUES","PSB","MA"
"233","INDIO DA COSTA","PSD","RJ"
"234","IRACEMA PORTELLA","PP","PI"
"235","IRAJA ABREU","PSD","TO"
"236","IRMAO LAZARO","PSC","BA"
"237","IVAN VALENTE","PSOL","SP"
"238","IZALCI","PSDB","DF"
"239","JAIME MARTINS","PSD","MG"
"240","JAIR BOLSONARO","PSC","RJ"
"241","JANDIRA FEGHALI","PCdoB","RJ"
"242","JANETE CAPIBERIBE","PSB","AP"
"243","JARBAS VASCONCELOS","PMDB","PE"
"244","JEAN WYLLYS","PSOL","RJ"
"245","JEFFERSON CAMPOS","PSD","SP"
"246","JERONIMO GOERGEN","PP","RS"
"247","JESSICA SALES","PMDB","AC"
"248","JHC","PSB","AL"
"249","JHONATAN DE JESUS","PRB","RR"
"250","JO MORAES","PCdoB","MG"
"251","JOAO ARRUDA","PMDB","PR"
"252","JOAO CAMPOS","PRB","GO"
"253","JOAO CARLOS BACELAR","PR","BA"
"254","JOAO CASTELO","PSDB","MA"
"255","JOAO DANIEL","PT","SE"
"256","JOAO DERLY","REDE","RS"
"257","JOAO FERNANDO COUTINHO","PSB","PE"
"258","JOAO GUALBERTO","PSDB","BA"
"259","JOAO MARCELO SOUZA","PMDB","MA"
"260","JOAO PAULO KLEINUBING","PSD","SC"
"261","JOAO PAULO PAPA","PSDB","SP"
"262","JOAO RODRIGUES","PSD","SC"
"263","JOAQUIM PASSARINHO","PSD","PA"
"264","JONES MARTINS","PMDB","RS"
"265","JONY MARCOS","PRB","SE"
"266","JORGE BOEIRA","PP","SC"
"267","JORGE CORTE REAL","PTB","PE"
"268","JORGE SOLLA","PT","BA"
"269","JORGE TADEU MUDALEN","DEM","SP"
"270","JORGINHO MELLO","PR","SC"
"271","JOSE AIRTON CIRILO","PT","CE"
"272","JOSE CARLOS ALELUIA","DEM","BA"
"273","JOSE CARLOS ARAUJO","PR","BA"
"274","JOSE FOGAÇA","PMDB","RS"
"275","JOSE GUIMARAES","PT","CE"
"276","JOSE MENTOR","PT","SP"
"277","JOSE NUNES","PSD","BA"
"278","JOSE OTAVIO GERMANO","PP","RS"
"279","JOSE PRIANTE","PMDB","PA"
"280","JOSE REINALDO","PSB","MA"
"281","JOSE ROCHA","PR","BA"
"282","JOSE STEDILE","PSB","RS"
"283","JOSI NUNES","PMDB","TO"
"284","JOSIAS GOMES","PT","BA"
"285","JOSUE BENGTSON","PTB","PA"
"286","JOVAIR ARANTES","PTB","GO"
"287","JOZI ARAUJO","PTN","AP"
"288","JULIA MARINHO","PSC","PA"
"289","JULIO CESAR","PSD","PI"
"290","JULIO DELGADO","PSB","MG"
"291","JULIO LOPES","PP","RJ"
"292","JUNIOR MARRECA","PEN","MA"
"293","JUSCELINO FILHO","DEM","MA"
"294","JUTAHY JUNIOR","PSDB","BA"
"295","KAIO MANIÇOBA","PMDB","PE"
"296","KEIKO OTA","PSB","SP"
"297","LAERCIO OLIVEIRA","SD","SE"
"298","LAERTE BESSA","PR","DF"
"299","LAUDIVIO CARVALHO","SD","MG"
"300","LAURA CARNEIRO","PMDB","RJ"
"301","LAZARO BOTELHO","PP","TO"
"302","LEANDRE","PV","PR"
"303","LELO COIMBRA","PMDB","ES"
"304","LEO DE BRITO","PT","AC"
"305","LEONARDO MONTEIRO","PT","MG"
"306","LEONARDO PICCIANI","PMDB","RJ"
"307","LEONARDO QUINTAO","PMDB","MG"
"308","LEONIDAS CRISTINO","PDT","CE"
"309","LEOPOLDO MEYER","PSB","PR"
"310","LIDERANÇA DO PSDB",NA,NA
"311","LIDERANÇA DO PT",NA,NA
"312","LINCOLN PORTELA","PRB","MG"
"313","LINDOMAR GARÇON","PRB","RO"
"314","LOBBE NETO","PSDB","SP"
"315","LUCAS VERGILIO","SD","GO"
"316","LUCIANA SANTOS","PCdoB","PE"
"317","LUCIANO DUCCI","PSB","PR"
"318","LUCIO MOSQUINI","PMDB","RO"
"319","LUCIO VALE","PR","PA"
"320","LUCIO VIEIRA LIMA","PMDB","BA"
"321","LUIS CARLOS HEINZE","PP","RS"
"322","LUIS TIBE","PTdoB","MG"
"323","LUIZ CARLOS BUSATO","PTB","RS"
"324","LUIZ CARLOS HAULY","PSDB","PR"
"325","LUIZ CARLOS RAMOS","PTN","RJ"
"326","LUIZ CLAUDIO","PR","RO"
"327","LUIZ COUTO","PT","PB"
"328","LUIZ FERNANDO FARIA","PP","MG"
"329","LUIZ LAURO FILHO","PSB","SP"
"330","LUIZ NISHIMORI","PR","PR"
"331","LUIZ SERGIO","PT","RJ"
"332","LUIZA ERUNDINA","PSOL","SP"
"333","LUIZIANNE LINS","PT","CE"
"334","MACEDO","PP","CE"
"335","MAGDA MOFATTO","PR","GO"
"336","MAIA FILHO","PP","PI"
"337","MAJOR OLIMPIO","SD","SP"
"338","MANDETTA","DEM","MS"
"339","MANOEL JUNIOR","PMDB","PB"
"340","MARA GABRILLI","PSDB","SP"
"341","MARCELO AGUIAR","DEM","SP"
"342","MARCELO ALVARO ANTONIO","PR","MG"
"343","MARCELO ARO","PHS","MG"
"344","MARCELO BELINATI","PP","PR"
"345","MARCELO CASTRO","PMDB","PI"
"346","MARCELO MATOS","PHS","RJ"
"347","MARCELO SQUASSONI","PRB","SP"
"348","MARCIO ALVINO","PR","SP"
"349","MARCIO BIOLCHI","PMDB","RS"
