"","NOME","PARTIDO","UF","MINISTERIO_DA_AGRICULTURA_PECUARIA_E_ABASTECIMENTO","MINISTERIO_DA_SAUDE","MINISTERIO_DAS_CIDADES","MINISTERIO_DO_DESENV_SOCIAL_E_COMBATE_A_FOME","MINISTERIO_DO_ESPORTE","MINISTERIO_DO_TURISMO"
"218","JOSE OTAVIO GERMANO","PP","RS",0,0,2858300,0,2193750,1046930.63
"219","JOSE PRIANTE","PMDB","PA",1647750,406580,0,0,0,0
"220","JOSE ROCHA","PR","BA",0,1447653.72,2174490.99,0,243750,1267500
"221","JOSE STEDILE","PSB","RS",1267500,250000,3164450.74,0,877500,0
"222","JOSI NUNES","PMDB","TO",292500,0,3455900,0,585000,780000
"223","JOSIAS GOMES","PT","BA",633750,492800,0,0,0,0
"224","JOSUE BENGTSON","PTB","PA",0,1799980.61,2962800,0,0,0
"225","JOVAIR ARANTES","PTB","GO",803804.63,1524032.2,4030673.32,0,0,1648551.95
"226","JULIA MARINHO","PSC","PA",975000,0,541777.59,0,0,243750
"227","JULIO CESAR","PSD","PI",0,0,2420258.48,0,1133242.5,518812.13
"228","JULIO DELGADO","PSB","MG",390000,1709920,2361269,0,731250,0
"229","JULIO LOPES","PP","RJ",390000,2187900,4326328.65,0,0,0
"230","JUNIOR MARRECA","PEN","MA",0,0,0,0,292500,0
"231","JUSCELINO FILHO","DEM","MA",682500,0,0,0,390000,0
"232","JUTAHY JUNIOR","PSDB","BA",0,1890270,3160600,0,0,314062.13
"233","KEIKO OTA","PSB","SP",0,7871215.52,983400,0,291738.52,0
"234","LAERCIO OLIVEIRA","SD","SE",0,0,2764756,0,0,243750
"235","LAUDIVIO CARVALHO","SD","MG",0,0,0,0,97500,0
"236","LAZARO BOTELHO","PP","TO",0,2899993.4,4006414.7,0,0,440359
"237","LEANDRE","PV","PR",0,0,1086500,0,975000,0
"238","LELO COIMBRA","PMDB","ES",1248265.2,1184000,245850,150000,1270000,1058250
"239","LEO DE BRITO","PT","AC",0,0,0,0,243750,0
"240","LEONARDO MONTEIRO","PT","MG",0,1547139.7,2150404.45,0,731250,0
"241","LEONARDO PICCIANI","PMDB","RJ",0,999996,245850,0,1974322.35,1803750
"242","LEONARDO QUINTAO","PMDB","MG",0,3373770,3448545.69,0,1085000,487500
"243","LEONIDAS CRISTINO","PDT","CE",0,3e+05,0,0,0,1072500
"244","LEOPOLDO MEYER","PSB","PR",507000,1300438,1576800,410000,624000,487500
"245","LINCOLN PORTELA","PRB","MG",0,1100000,2838520,0,828750,389610
"246","LOBBE NETO","PSDB","SP",0,0,0,0,682500,0
"247","LUCAS VERGILIO","SD","GO",0,0,491700,0,926250,877500
"248","LUCIANA SANTOS","PCdoB","PE",0,568905,2833819,0,0,0
"249","LUCIANO DUCCI","PSB","PR",0,0,790378,0,243750,0
"250","LUCIO VIEIRA LIMA","PMDB","BA",390000,1650000,4006666.75,0,0,926250
"251","LUIS CARLOS HEINZE","PP","RS",1072566.3,3010000,3800300.74,380250,2047500,0
"252","LUIS TIBE","PTdoB","MG",110889,2418401,1519129,0,731250,390000
"253","LUIZ CARLOS BUSATO","PTB","RS",3435276,3040000,1229250,243750,975000,975000
"254","LUIZ CARLOS HAULY","PSDB","PR",146250,4199234,491700,2e+05,3812250,0
"255","LUIZ COUTO","PT","PB",0,0,3662215,0,243750,0
"256","LUIZ FERNANDO FARIA","PP","MG",750354,199920,2016250,0,975000,487500
"257","LUIZ NISHIMORI","PR","PR",2271750,2850000,1592018.17,0,97500,243750
"258","LUIZ SERGIO","PT","RJ",487500,4e+05,1470810,0,390000,0
"259","LUIZA ERUNDINA","PSOL","SP",0,2499997.4,0,0,0,0
"260","MACEDO","PP","CE",0,0,493100,0,0,0
"261","MAGDA MOFATTO","PR","GO",0,499997.75,5178637.7,0,0,602391
"262","MANDETTA","DEM","MS",0,8874908.25,3860949.76,0,0,0
"263","MANOEL JUNIOR","PMDB","PB",0,1755634.76,4462224.04,0,0,0
"264","MARA GABRILLI","PSDB","SP",0,4574775,1723750,0,0,0
